No.,Mã trạm,Tên trạm,Kinh độ,Vĩ độ,Thành phần môi trường,Tỉnh,Địa chỉ,Mô tả,Nhóm,Email,Điện thoại,Đầu mối liên hệ,Trạng thái,Đường dẫn máy chủ,Cổng,Đường dẫn thư mục,Tên người dùng
1,LSOS_KHIKHO,Khánh Hòa: phường Vĩnh Hòa - Nha Trang (KK),109.192524,12.284358,Không khí (KK),Khánh Hoà,"Khuôn viên của Làng trẻ SOS Nha Trang, tại đường 2/4 – phường Vĩnh Hòa","Tháng 11 năm 2011, Trạm khí tại Khánh Hòa được khởi công xây dựng và đi vào hoạt động chính thức vào tháng 4 năm 2012. Đây là loại Tram quan trắc ven đường. Thành phần môi trường: Không khí xung quanh. Trạm có khả năng quan trắc các thông số môi trường cơ bản gồm: Bụi (PM-10, PM-2.5, PM-1) , NOx, SO2, CO, O3 , các thống số hữu cơ và các thông số vi khí hậu như: hướng gió, tốc độ gió, nhiệt độ, độ ẩm, áp suất, bức xạ.",Trạm NCEM quản lý,toandk@cem.gov.vn,0946861266,Dương Khánh Toàn,Lỗi thiết bị,ftp.envisoft.gov.vn,21,/CEM/KhanhHoa_tramkhiSOS/CEM/KhanhHoa_tramkhiSOS/,luanvn
2,VTRI_KHIVTR,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),105.3673,21.33847,Không khí (KK),Phú Thọ,"Khuôn viên của Công ty xăng dầu Phú Thọ tại đường Hùng Vương, thành phố Việt Trì","Khuôn viên của Công ty xăng dầu Phú Thọ tại đường Hùng Vương, thành phố Việt Trì",Trạm NCEM quản lý,toandk@cem.gov.vn,0946861266,Dương Khánh Toàn,Lỗi thiết bị,10.0.11.15,21,/tudong/PHUTHO/tram khi/,online
3,LEDU_KHIDNA,Đà Nẵng: 41 đường Lê Duẩn (KK),108.217,16.074,Không khí (KK),Ðà Nẵng,"Khuôn viên của Trường Đại học Đà Nẵng, số 41 – Lê Duẩn","Khuôn viên của Trường Đại học Đà Nẵng, số 41 – Lê Duẩn",Trạm NCEM quản lý,toandk@cem.gov.vn,0946861266,Dương Khánh Toàn,Mất kết nối,ftp.envisoft.gov.vn,21,/CEM/DaNang_tramkhiLeDuan/,DN_leduan
4,QUGI_KHIHLO,Quảng Ninh: Vườn hoa phường Hồng Hà - Hạ Long (KK),107.1158,20.9416,Không khí (KK),Quảng Ninh,"Khuôn viên của vườn hoa nằm kẹp giữa quốc lộ 18A cũ và quốc lộ 18A mới tại Khu I, phường Hồng Hà, thành phố","Trạm được đặt trong khuôn viên của vườn hoa nằm kẹp giữa quốc lộ 18A cũ và quốc lộ 18A mới tại Khu I, phường Hồng Hà, thành phố Hạ Long",Trạm NCEM quản lý,toandk@cem.gov.vn,0946861266,Dương Khánh Toàn,Vượt qui chuẩn,10.0.11.15,21,/tudong/QUANGNINH,kister_ams
5,TTH_CDSP_KHITTH,Thừa Thiên Huế: 83 đường Hùng Vương (KK),107.596351,16.46226,Không khí (KK),Thừa Thiên Huế,"Khuôn viên của Trường Cao đẳng sư phạm Huế tại số 82 đường Hùng Vương, thành phố Huế","Khuôn viên của Trường Cao đẳng sư phạm Huế tại số 82 đường Hùng Vương, thành phố Huế",Trạm NCEM quản lý,luan19862002@gmail.com,0976080848,Dương Khánh Toàn,Lỗi thiết bị,ftp.envisoft.gov.vn,21,/CEM/Hue_tramkhiHungVuong/,TTH_khi
6,GLHN_KHINVC,Hà Nội: 556 Nguyễn Văn Cừ (KK),105.8831,21.0491,Không khí (KK),Hà Nội,"Nguyễn Văn Cừ, Long Biên",,Trạm NCEM quản lý,toandk@cem.gov.vn,0946861266,Dương Khánh Toàn,Hoạt động tốt,ftp.cem.gov.vn,21,/tudong/hanoi/khi/NVCKHI,online
7,CATH_KHIXQU,Quảng Ninh: Phường Cẩm Thịnh - Cẩm Phả (KK),107.344252,21.006517,Không khí (KK),Quảng Ninh,Phường Cẩm Thịnh - TP Cẩm Phả,Trạm quan trắc không khí xung quanh,,luanvn@cem.gov.vn,0976080848,Vương Như Luận,Vượt qui chuẩn,ftp.envisoft.gov.vn,21,/khongkhi/CamThinh,quangninh
8,CAXA_KHIXQU,Quảng Ninh: phường Cao Xanh  - Hạ Long (KK),107.086964,20.97966,Không khí (KK),Quảng Ninh,Phường Cao Xanh - TP Hạ Long,"Trạm quan trắc không khí xung quanh, Phường Cao Xanh - TP Hạ Long",,luanvn@cem.gov.vn,0976080848,Vương Như Luận,Vượt qui chuẩn,ftp.envisoft.gov.vn,21,/khongkhi/CaoXanh,quangninh
9,QUHA_KHIXQU,Quảng Ninh: phường Quang Hanh - Cẩm Phả (KK),107.232036,21.009555,Không khí (KK),Quảng Ninh,Phường Quang Hanh - TP Cẩm Phả,Trạm quan trắc không khí xung quanh tại phường Quang Hanh - TP Cẩm Phả,,luanvn@cem.gov.vn,0976080848,Vương Như Luận,Lỗi thiết bị,ftp.envisoft.gov.vn,21,/khongkhi/QuangHanh,quangninh
10,KHCH_KHIXQU,Quảng Ninh: Khe Chàm - Cẩm Phả (KK),107.325674,21.065241,Không khí (KK),Quảng Ninh,Văn phòng công ty than Khe Chàm,Trạm quan trắc không khí xung quanh tại Văn phòng công ty than Khe Chàm,,luanvn@cem.gov.vn,0976080848,Vương Như Luận,Mất kết nối,ftp.envisoft.gov.vn,21,/khongkhi/KheChamCamPha,quangninh
